name,instructions
Abrocitinib,"Important warning: Abrocitinib increases the risk of serious infections, death, cancer, major adverse cardiovascular events such as heart attack and stroke, and blood clots. Use only in patients who have not responded to or cannot tolerate other therapies and after discussing risks and benefits. Why is this medication prescribed? Abrocitinib is an oral Janus kinase inhibitor used to treat moderate to severe atopic dermatitis in adults and certain adolescents when topical therapies are not adequate. How should this medicine be used? Take by mouth once daily as directed, with or without food, swallowing tablets whole with water. Your doctor may adjust the dose based on age, kidney or liver function, platelet counts, and side effects. Do not crush or split the tablets. What special precautions should I follow? Before starting, your doctor will check for tuberculosis, hepatitis B, and current infections, and will order blood tests including a complete blood count, liver tests, and cholesterol. Avoid live vaccines during treatment. Tell your doctor about any history of heart disease, stroke, blood clots, cancer, smoking, diabetes, stomach or bowel problems, or kidney or liver disease. Use effective birth control while taking abrocitinib and for a time after the last dose as directed by your prescriber. Do not breastfeed during treatment and for some time after the last dose. Tell your doctor about all medicines and supplements. Strong inhibitors or inducers of certain liver enzymes especially those that affect CYP2C19 or CYP2C9 can change abrocitinib levels. Report signs of infection, chest pain, trouble breathing, severe stomach pain, leg swelling, severe headache, vision changes, shingles, or unusual bruising or bleeding right away. What special dietary instructions should I follow? No specific foods are required. Take with food if nausea occurs. Avoid herbal products with strong enzyme effects such as St Johns wort unless your clinician approves. What should I do if I forget a dose? If you miss a dose and remember on the same day, take it as soon as you remember. If you do not remember until the next day, skip the missed dose and resume your usual schedule. Do not take two doses in one day. What side effects can this medication cause? Common effects include nausea, headache, dizziness, acne, stomach pain, and upper respiratory symptoms. Lab changes can include increases in cholesterol and decreases in platelets. Serious effects include serious infections such as shingles, blood clots, heart attack, stroke, cancer, gastrointestinal perforation, liver test elevations, and severe allergic reactions."
RSV (Respiratory Syncytial Virus) Vaccine,"Why is this medication prescribed? RSV vaccines help prevent lower respiratory tract disease caused by respiratory syncytial virus in adults 60 years and older based on shared clinical decision making, and one vaccine is approved for use during pregnancy to protect infants. How should this medicine be used? It is given as a single intramuscular injection by a healthcare professional. For pregnant people, the vaccine is given during weeks 32 to 36 of pregnancy, typically during RSV season, as advised by the obstetric provider. For older adults, timing is usually before or during RSV season based on risk factors and local guidance. What special precautions should I follow? Do not receive the vaccine if you had a severe allergic reaction to a previous dose or any component of the vaccine. Tell your provider if you have a history of Guillain Barre syndrome, are ill with fever, are pregnant or breastfeeding, or have immune system conditions. Discuss the timing of this vaccine with other vaccines. Remain at the clinic for observation after vaccination. What special dietary instructions should I follow? No dietary changes are needed. What should I do if I forget a dose? If you miss a planned appointment, reschedule with your clinic. What side effects can this medication cause? Common effects include pain, redness, or swelling at the injection site, tiredness, headache, muscle or joint aches, and fever or chills. Serious reactions such as severe allergic reaction are rare and require immediate medical attention. Rare cases of Guillain Barre syndrome have been reported in some older adults."
Lidocaine Transdermal Patch,"Why is this medication prescribed? The lidocaine skin patch is used to relieve nerve related pain in the area of a shingles rash after it has healed and may be used for certain localized pain conditions as directed by a clinician. How should this medicine be used? Apply the patch to intact, dry skin over the painful area, usually once daily for up to 12 hours in a 24 hour period. Do not use more than three patches at one time unless your clinician instructs you to do so. You may cut patches to fit. Wash hands after handling and avoid touching eyes or mouth. Do not apply external heat such as heating pads over the patch. What special precautions should I follow? Do not use if you have had an allergic reaction to lidocaine or other amide local anesthetics. Use caution if you have severe liver disease, heart rhythm problems, or a history of methemoglobinemia. Do not apply to broken or inflamed skin. Keep out of reach of children and pets and fold and dispose of used patches safely. Tell your doctor about all medicines, especially other local anesthetics, heart rhythm medicines, beta blockers, and medicines that can cause methemoglobinemia. If you are pregnant or breastfeeding, discuss risks and benefits. What special dietary instructions should I follow? No dietary changes are needed. What should I do if I forget a dose? Apply a patch when you remember and remove it at your usual time so that total wear time does not exceed 12 hours in any 24 hour period. Do not apply extra patches to make up for a missed dose. What side effects can this medication cause? Common effects include skin redness, irritation, or a mild burning sensation where applied. Rare but serious effects from too much lidocaine in the body include dizziness, drowsiness, confusion, blurred vision, ringing in the ears, seizures, slow or irregular heartbeat, or breathing problems. Remove the patch and seek urgent care if serious symptoms occur."
Isotretinoin,"Important warning: Isotretinoin causes severe birth defects. Do not use if you are pregnant or may become pregnant. Enrollment in the iPLEDGE program is required in the United States with strict pregnancy testing and contraception requirements. Do not donate blood during treatment or for a period after the last dose. Why is this medication prescribed? Isotretinoin is used to treat severe nodular acne that has not responded to other treatments. How should this medicine be used? Take capsules by mouth as directed, usually twice daily. Take with food to improve absorption unless you are prescribed a formulation that can be taken without regard to meals. Swallow capsules whole. Your doctor will monitor blood tests including lipids and liver tests and adjust the dose based on response and side effects. What special precautions should I follow? Do not become pregnant during treatment or for at least one month after the last dose. Use two effective methods of birth control as directed by your prescriber. Do not breastfeed during treatment. Tell your doctor about any history of depression, mood disorders, high triglycerides, liver disease, diabetes, bone disorders, or bowel disease. Tell your doctor about all medicines and supplements. Avoid vitamin A supplements, tetracycline antibiotics, and St Johns wort, and discuss use of progestin only contraceptives. Report mood changes, severe headache, vision changes, chest pain, severe stomach pain, blood in stool, severe muscle or joint pain, or signs of pancreatitis or liver problems right away. What special dietary instructions should I follow? Take with meals and avoid alcohol or limit it as advised to reduce liver and triglyceride risks. Avoid vitamin A rich supplements. Stay well hydrated and use lip and skin moisturizers. What should I do if I forget a dose? Take the missed dose when you remember unless it is close to the time for the next dose. If it is almost time for the next dose, skip the missed dose. Do not take two doses at once. What side effects can this medication cause? Very common effects include dry or chapped lips, dry skin and eyes, nosebleeds, and increased sun sensitivity. Other effects may include headache, back or joint pain, changes in vision or hearing, elevated triglycerides and liver enzymes, rash, and fatigue. Serious effects include birth defects if used during pregnancy, mood or behavior changes, pancreatitis, severe liver problems, inflammatory bowel symptoms, pseudotumor cerebri, and severe skin reactions. Seek urgent care for severe headache with vision changes, chest pain, shortness of breath, severe abdominal pain, or signs of allergic reaction."
Fentanyl,"Important warning: Fentanyl is a potent opioid that can cause life threatening addiction, abuse, and misuse, and can cause fatal breathing problems especially when starting or increasing the dose. Accidental exposure, especially in children, can be deadly. Combining fentanyl with benzodiazepines, alcohol, or other sedatives can cause profound sedation, breathing problems, coma, and death. Use exactly as prescribed and store securely. Why is this medication prescribed? Fentanyl is used to treat severe pain that requires continuous opioid therapy or breakthrough cancer pain in patients who are already taking and tolerant to opioid medicines. How should this medicine be used? The form and directions depend on the product. Skin patches deliver medicine over 72 hours and are for patients already taking opioids. Apply to clean intact skin, press firmly, and replace every 72 hours rotating sites. Do not use heat sources on or near the patch. Buccal, sublingual, or nasal products are used for breakthrough cancer pain and are taken as single doses with careful titration. Injectable forms are given by trained professionals. Do not cut or alter patches or take more than prescribed. Your clinician will provide a plan for starting dose, titration, and safe disposal. What special precautions should I follow? Tell your clinician about lung disease, sleep apnea, head injury, seizures, liver or kidney disease, low blood pressure, mental health conditions, constipation, or past substance use disorder. Tell your clinician about all medicines and supplements. Avoid combining with other sedatives unless directed. Strong CYP3A4 inhibitors or inducers and many other drugs can dangerously change fentanyl levels. Risk of serotonin syndrome increases with serotonergic drugs. Do not use patches if you are not already taking opioid medicines on a regular schedule. Keep naloxone available and ensure household members know how to use it. Avoid driving or operating machinery until you know how fentanyl affects you. If pregnant or breastfeeding, discuss risks which include neonatal withdrawal. What special dietary instructions should I follow? Do not drink alcohol. Avoid grapefruit and grapefruit juice which can raise fentanyl levels. Stay hydrated and increase fiber in your diet to help prevent constipation. What should I do if I forget a dose? For a skin patch, apply a new patch as soon as you remember and remove the old one, then continue on the new 72 hour schedule. If a patch falls off, dispose of it safely and apply a new patch to a different site. For buccal, sublingual, or nasal products, if a dose is missed, use it when pain recurs unless it is close to the time you would normally use the next dose. Never use extra doses to make up for a missed dose. When unsure, contact your prescriber. What side effects can this medication cause? Common effects include constipation, nausea, vomiting, sleepiness, dizziness, confusion, sweating, and itching. Serious effects include slow or shallow breathing, severe sleepiness, fainting, severe low blood pressure, serotonin syndrome, adrenal insufficiency, allergic reactions, and in long term use low sex hormones. Seek emergency help for breathing problems, severe drowsiness, inability to wake, or signs of overdose."
Acalabrutinib,"Why is this medication prescribed? Acalabrutinib is used to treat certain blood cancers including chronic lymphocytic leukemia, small lymphocytic lymphoma, and mantle cell lymphoma in some situations. How should this medicine be used? Take acalabrutinib by mouth as directed, typically twice daily. Swallow capsules or tablets whole with water. If you take acid reducing medicines, avoid proton pump inhibitors. If you use H2 blockers, take acalabrutinib at least two hours after the H2 blocker. If you use antacids, separate doses by at least two hours. Your doctor may adjust dosing with certain interacting medicines. What special precautions should I follow? Tell your doctor about any history of bleeding, heart rhythm problems including atrial fibrillation, high blood pressure, infections, liver disease, or kidney disease. This medicine can increase bleeding and infection risk and can cause low blood counts and heart rhythm problems. Tell your doctor about all medicines and supplements. Strong CYP3A inhibitors or inducers and grapefruit or Seville oranges can change acalabrutinib levels. Your doctor may recommend infection prevention steps. Use sun protection because of a risk of second primary skin cancers. Tell your dentist or surgeon that you take acalabrutinib before procedures. If you are pregnant, plan to become pregnant, or breastfeeding, discuss risks and effective contraception during and after treatment. What special dietary instructions should I follow? Avoid grapefruit, grapefruit juice, and Seville oranges. Otherwise, no specific diet is required. What should I do if I forget a dose? If you miss a dose by less than three hours, take it as soon as you remember. If more than three hours have passed, skip the missed dose and take the next dose at the regular time. Do not take two doses at once. What side effects can this medication cause? Common effects include headache, diarrhea, muscle or joint pain, fatigue, bruising, and rash. Laboratory changes may include low white blood cells, low platelets, and anemia. Serious effects include severe infections, significant bleeding, atrial fibrillation, high blood pressure, and second primary cancers. Seek prompt care for chest pain, palpitations, shortness of breath, black stools, severe bleeding, or signs of infection such as fever or chills."
Acamprosate,"Why is this medication prescribed? Acamprosate helps people with alcohol use disorder maintain abstinence as part of a comprehensive treatment program that includes counseling and support. How should this medicine be used? Take acamprosate by mouth exactly as prescribed, usually three times daily. Swallow delayed release tablets whole with water. It is typically started after you have stopped drinking. Dose adjustments are needed in reduced kidney function and it is not recommended in severe kidney disease. What special precautions should I follow? Tell your doctor about kidney problems, depression, suicidal thoughts, or other mental health conditions. Report any mood or behavior changes or suicidal thoughts right away. Tell your doctor about all medicines and supplements. Continue counseling and support programs. If you are pregnant or breastfeeding, discuss risks and benefits. What special dietary instructions should I follow? You may take it with or without food. If stomach upset occurs, taking it with meals may help. What should I do if I forget a dose? Take the missed dose as soon as you remember unless it is close to the time for your next dose. If it is almost time for the next dose, skip the missed dose. Do not take two doses at once. What side effects can this medication cause? Common effects include diarrhea, nausea, gas, itching, dizziness, insomnia, anxiety, and weakness. Serious effects are rare but can include depression, suicidal thoughts, allergic reactions, and severe diarrhea. Seek help if you develop severe mood changes or signs of an allergic reaction."
Benzoyl Peroxide Topical,"Why is this medication prescribed? Benzoyl peroxide is used on the skin to treat acne by reducing acne causing bacteria and helping keep pores clear. How should this medicine be used? Use as directed on the label or by your clinician. Clean and dry the affected skin, then apply a thin layer once daily and increase to twice daily as tolerated. Avoid eyes, lips, inside the nose, and broken skin. Wash hands after application. It can bleach hair and fabrics. If you use other acne medicines, apply at different times of day to reduce irritation. What special precautions should I follow? Do a small test area at first to check for irritation. Stop and seek care if you develop severe redness, swelling, blistering, or difficulty breathing. Tell your clinician if you have very sensitive skin or eczema. Avoid excessive sun and use sunscreen since irritation can increase sun sensitivity. Do not use at the same time as dapsone on the same area because temporary skin discoloration can occur. If pregnant or breastfeeding, it is generally considered acceptable, but discuss with your clinician. What special dietary instructions should I follow? No dietary changes are needed. What should I do if I forget a dose? Apply when you remember, but if it is close to the next application, skip the missed dose and resume your normal schedule. Do not apply extra to make up for a missed dose. What side effects can this medication cause? Common effects include dryness, peeling, mild burning or stinging, and redness. Less common but serious reactions include severe swelling, blistering, hives, or allergic reactions. If severe irritation occurs, stop use and contact your clinician."
Clindamycin and Benzoyl Peroxide Topical,"Why is this medication prescribed? This combination is used on the skin to treat acne. Clindamycin reduces acne causing bacteria and inflammation, and benzoyl peroxide helps reduce bacteria and unclog pores. How should this medicine be used? Use on the skin only. Clean and dry the affected area, then apply a thin layer as directed, usually once or twice daily. Avoid contact with eyes, inside the nose or mouth, and broken or irritated skin. Wash hands after applying. Use a gentle cleanser and a noncomedogenic moisturizer. This medicine can bleach hair and fabrics and can increase sun sensitivity, so use sunscreen and protective clothing. What special precautions should I follow? Tell your clinician about any history of colitis, inflammatory bowel disease, or antibiotic associated diarrhea. Do not use if you are allergic to clindamycin, lincomycin, or benzoyl peroxide. Avoid using other topical acne products that can irritate the skin unless your clinician advises it. Stop and contact your clinician if you develop severe diarrhea, abdominal cramps, severe skin irritation, or signs of allergy such as hives or swelling. If you are pregnant or breastfeeding, discuss the risks and benefits. What special dietary instructions should I follow? No specific diet is needed. Use adequate sun protection. What should I do if I forget a dose? Apply it as soon as you remember, but if it is almost time for your next dose, skip the missed dose. Do not apply extra to make up for a missed dose. What side effects can this medication cause? Common effects include dryness, peeling, redness, burning, stinging, and itching. It may increase sun sensitivity. Less common but serious effects include severe skin irritation or allergic reaction and rarely severe or persistent diarrhea due to colitis. Seek medical help for severe worsening or signs of allergy."
Acarbose,"Why is this medication prescribed? Acarbose is used with diet and exercise to improve blood sugar control in adults with type 2 diabetes. It slows the digestion of carbohydrates to reduce post meal blood sugar spikes. How should this medicine be used? Take by mouth at the first bite of each main meal, usually three times daily. Your clinician may start with a low dose and increase gradually to improve tolerance. Monitor blood sugar as directed and have periodic blood tests including liver enzymes. Do not use it to treat low blood sugar. What special precautions should I follow? Do not use if you have inflammatory bowel disease, colonic ulceration, partial intestinal obstruction, chronic intestinal disorders with marked digestion or absorption issues, or cirrhosis. Tell your clinician if you have kidney or liver disease, are pregnant or breastfeeding, or use other diabetes medicines. Treat low blood sugar with pure glucose such as dextrose tablets or gel, not table sugar or sucrose containing foods, because acarbose delays the breakdown of sucrose. Activated charcoal and digestive enzyme products can reduce the effect of acarbose. What special dietary instructions should I follow? Follow your diabetes meal plan and distribute carbohydrate intake evenly. Limit alcohol and avoid using table sugar to treat low blood sugar. High fiber foods may increase gas at the start of therapy. What should I do if I forget a dose? If you skip a meal, skip the acarbose dose. If you forget to take it with a meal, do not take it later between meals. Take the next dose at the first bite of your next main meal. Do not double doses. What side effects can this medication cause? Common effects are gas, abdominal discomfort, bloating, and diarrhea, which often lessen over time. It can cause low blood sugar when used with insulin or other diabetes drugs. Less common effects include elevated liver enzymes or liver inflammation, rash, or swelling. Seek care for yellowing of the skin or eyes, dark urine, severe abdominal pain, or persistent vomiting."
Zafirlukast,"Important warning: Zafirlukast can cause serious liver injury. Stop the medicine and contact your clinician right away if you develop fatigue, loss of appetite, nausea, abdominal pain, itching, dark urine, or yellowing of the skin or eyes. This medicine does not treat sudden asthma attacks. Always keep a rescue inhaler available. Why is this medication prescribed? Zafirlukast is used to prevent and control asthma symptoms by blocking leukotrienes, substances that cause airway inflammation. How should this medicine be used? Take by mouth on an empty stomach, either one hour before or two hours after meals, usually twice daily. Take it regularly even if you feel well. Do not use it to relieve acute wheezing. If you are tapering oral steroids, this must be done under medical supervision. What special precautions should I follow? Do not use if you have liver disease or cirrhosis. Tell your clinician about all medicines, especially warfarin, theophylline, and erythromycin, because interactions may occur. Report any signs of liver problems. Rarely, worsening asthma with eosinophilia and vasculitis can occur, especially when oral steroids are reduced. If pregnant or breastfeeding, discuss risks and benefits. What special dietary instructions should I follow? Take on an empty stomach for best absorption. Avoid excessive alcohol due to liver risk. What should I do if I forget a dose? Take it as soon as you remember unless it is close to the next dose. If it is almost time for your next dose, skip the missed dose. Do not take two doses at once. What side effects can this medication cause? Common effects include headache, nausea, diarrhea, abdominal pain, and infections. Serious effects include liver enzyme elevations, hepatitis, jaundice, allergic reactions, and rare vasculitis with rash, tingling or numbness, and worsening lung symptoms."
Somatropin Injection,"Important warning: Do not use somatropin in patients with severe obesity or severe breathing problems who have Prader Willi syndrome due to risk of sudden death. Do not use somatropin in patients with acute critical illness after major surgery, trauma, or with acute respiratory failure. Why is this medication prescribed? Somatropin is a form of human growth hormone used to treat growth failure in children and growth hormone deficiency in adults, and certain conditions such as Turner syndrome, chronic kidney disease before transplant, small for gestational age with failure to catch up growth, and other approved indications. How should this medicine be used? It is given as a subcutaneous injection once daily or as directed. Your dose is individualized and may be adjusted based on weight and insulin like growth factor one levels. You will be taught how to prepare and inject the medicine, rotate injection sites, and store it in the refrigerator. Do not shake the product. Use only the device and needles provided and do not share injection devices. What special precautions should I follow? Tell your clinician if you have any cancer, a history of a brain tumor, diabetic retinopathy, active proliferative or severe nonproliferative retinopathy, or if you are pregnant or breastfeeding. Do not use if you have active malignancy. Use caution if you have diabetes or glucose intolerance, adrenal or thyroid disorders, scoliosis, obstructive sleep apnea, hip problems, pancreatitis, or a history of intracranial hypertension. Report severe headache with visual changes, hip or knee pain with limping, abdominal pain, swelling of hands or feet, numbness or tingling in the hands, or signs of cancer recurrence. Certain medicines including glucocorticoids, insulin and diabetes medicines, and oral estrogens can interact and may require dose adjustments. What special dietary instructions should I follow? No specific diet is required, but maintain a balanced diet. If you have diabetes, monitor carbohydrate intake and blood glucose as directed. In Prader Willi syndrome, adhere to nutritional guidance and weight management. What should I do if I forget a dose? Take the missed dose as soon as you remember on the same day. If it is the next day, skip the missed dose and resume your usual schedule. Do not take extra doses. If you miss more than one dose, contact your clinician. What side effects can this medication cause? Common effects include injection site reactions, swelling, joint and muscle pain, headache, and fluid retention. It can increase blood sugar and may unmask hypothyroidism. Carpal tunnel syndrome can occur in adults. Serious effects include intracranial hypertension, pancreatitis, slipped capital femoral epiphysis with hip pain and limping, progression of scoliosis, and increased risk of certain cancers or tumor growth. Seek urgent care for vision changes, severe abdominal pain, or breathing problems."
Pseudoephedrine,"Why is this medication prescribed? Pseudoephedrine is a decongestant used to relieve nasal and sinus congestion due to colds, allergies, or sinusitis and to relieve ear congestion from air travel or ear infections. How should this medicine be used? Take by mouth with or without food and with a full glass of water. Use the lowest effective dose for the shortest time. Swallow extended release tablets whole. Measure liquids with a dosing device. Avoid taking near bedtime to reduce insomnia. Do not use more than directed on the label or by your clinician. What special precautions should I follow? Do not use if you have taken a monoamine oxidase inhibitor within the past 14 days. Tell your clinician if you have high blood pressure, heart disease, hyperthyroidism, diabetes, glaucoma, enlarged prostate or urinary retention, or if you are pregnant or breastfeeding. Pseudoephedrine can raise blood pressure and heart rate and can cause nervousness and insomnia. Avoid combining with other decongestants or stimulants. Limit caffeine. Check with your clinician or pharmacist before using with other medicines. What special dietary instructions should I follow? No specific diet is required, but limit caffeinated beverages to reduce jitteriness and insomnia. Stay well hydrated. What should I do if I forget a dose? If you use it on a schedule, take it when you remember. If it is almost time for the next dose, skip the missed dose. Do not take extra doses. If you use it only as needed, take it when symptoms require it. What side effects can this medication cause? Common effects include insomnia, nervousness, restlessness, dizziness, headache, nausea, and dry mouth. It can increase heart rate and blood pressure and may cause palpitations. Serious but rare effects include irregular heartbeat, hallucinations, seizures, severe allergic reactions, and urinary retention. Stop and seek care if you develop chest pain, severe headache, or neurologic symptoms."
Albuterol Oral Inhalation,"Important warning: Overuse or increasing need for albuterol can signal worsening asthma and may be life threatening. Do not exceed the prescribed dose. This medicine is for quick relief of bronchospasm and prevention of exercise induced symptoms, not for daily long term control. Stop and seek medical care if breathing suddenly worsens after use, which may indicate paradoxical bronchospasm. Why is this medication prescribed? Albuterol is a short acting bronchodilator used to relieve wheezing and shortness of breath in asthma or chronic obstructive pulmonary disease and to prevent exercise induced bronchospasm. How should this medicine be used? Use exactly as directed. For metered dose inhalers, prime before first use or if not used for the period stated in the instructions, shake well, exhale fully, seal lips around the mouthpiece, inhale deeply while pressing down on the canister, then hold your breath as directed. If two puffs are prescribed, wait at least one minute between puffs. Use a spacer if recommended. For dry powder inhalers, follow the device specific steps. For nebulizer solution, use the prescribed dose in a nebulizer machine. Keep your rescue inhaler with you. Have your inhaler technique checked regularly. What special precautions should I follow? Tell your clinician if you have heart disease, high blood pressure, arrhythmias, seizures, hyperthyroidism, diabetes, or low potassium. Some medicines including nonselective beta blockers, diuretics that lower potassium, monoamine oxidase inhibitors, and tricyclic antidepressants can interact. Report chest pain, rapid or irregular heartbeat, severe tremor, or worsening breathing. If pregnant or breastfeeding, discuss risks and benefits. What special dietary instructions should I follow? Limit excessive caffeine, which can worsen tremor and palpitations. Maintain adequate potassium intake if advised, especially if you use medicines that can lower potassium. What should I do if I forget a dose? This medicine is used as needed for symptoms. If you use it to prevent exercise induced bronchospasm, take it as directed before exercise. If you miss that pre exercise dose, do not double later. What side effects can this medication cause? Common effects include tremor, nervousness, headache, throat irritation, cough, and fast heartbeat. It may cause palpitations, muscle cramps, and transient increases in blood sugar. Serious effects include paradoxical bronchospasm, chest pain, irregular heartbeat, low potassium, and allergic reactions."
Quinapril,"Important warning: Do not use quinapril if you are pregnant. Drugs that act on the renin angiotensin system can cause injury and death to the developing fetus. Stop quinapril as soon as pregnancy is detected and contact your clinician right away. Why is this medication prescribed? Quinapril is an ACE inhibitor used to treat high blood pressure and to manage heart failure in combination with other medicines. How should this medicine be used? Take by mouth once or twice daily with or without food at the same times each day. Your clinician will adjust the dose based on blood pressure and kidney function. Continue to take it even if you feel well. What special precautions should I follow? Do not take if you have a history of angioedema with ACE inhibitors or if you are allergic to quinapril. Tell your clinician if you have kidney disease, liver disease, dehydration, heart failure, diabetes, or if you use diuretics, potassium supplements, potassium sparing diuretics, or salt substitutes containing potassium. Avoid using with aliskiren if you have diabetes and avoid combining routinely with an angiotensin receptor blocker. This medicine can cause low blood pressure, high potassium, kidney problems, cough, and rare but serious angioedema that requires emergency care. What special dietary instructions should I follow? Limit salt substitutes and high potassium foods unless your clinician advises otherwise. Limit alcohol which can increase dizziness. Follow any sodium restriction plan recommended for your condition. What should I do if I forget a dose? Take it as soon as you remember unless it is almost time for your next dose. If it is close to the next dose, skip the missed dose and resume your schedule. Do not take two doses at once. What side effects can this medication cause? Common effects include cough, dizziness, headache, and fatigue. It can cause low blood pressure, increases in potassium and creatinine, and rash or taste changes. Serious effects include angioedema with swelling of the face, lips, tongue, or throat, severe abdominal pain which can be intestinal angioedema, jaundice, and rare low white blood cell counts."
Theophylline,"Important warning: Theophylline has a narrow therapeutic range and high levels can cause serious and potentially life threatening side effects including seizures and dangerous heart rhythm problems. Blood levels may need monitoring and many drugs and illnesses can alter levels. Do not change dose or brand without medical guidance. Why is this medication prescribed? Theophylline is a bronchodilator used for maintenance treatment of asthma and chronic obstructive pulmonary disease. It is not for sudden breathing attacks. How should this medicine be used? Take exactly as prescribed at the same times each day. Swallow extended release products whole and do not crush or chew. Do not switch between different products without checking with your clinician. Your dose may be adjusted based on symptoms and blood levels. Keep using your reliever inhaler for acute symptoms. What special precautions should I follow? Tell your clinician about all medicines and supplements. Some antibiotics, antifungals, antidepressants, anti seizure medicines, stomach acid reducers, and others can raise or lower theophylline levels. Smoking tobacco or cannabis, changes in smoking status, fever, liver disease, heart failure, thyroid disease, and older age can change how your body handles theophylline. Avoid large amounts of caffeine because it can worsen side effects. If you are pregnant or breastfeeding, discuss risks and benefits. What special dietary instructions should I follow? Maintain a consistent diet and limit excessive caffeine from coffee, tea, cola, energy drinks, or chocolate. Avoid alcohol excess. What should I do if I forget a dose? Take it as soon as you remember if it is not close to your next dose. If it is almost time for the next dose, skip the missed dose. Do not take extra doses. If you miss more than one dose or develop symptoms of toxicity such as persistent vomiting, severe restlessness, rapid or irregular heartbeat, or seizures, seek medical care. What side effects can this medication cause? Common effects include nausea, vomiting, stomach upset, headache, insomnia, tremor, nervousness, and palpitations. Serious effects include persistent vomiting, severe agitation, seizures, very fast or irregular heartbeat, low blood pressure, and confusion."
Hydrochlorothiazide,"Why is this medication prescribed? Hydrochlorothiazide is a thiazide diuretic used to treat high blood pressure and to reduce fluid buildup in conditions such as heart failure and certain kidney or liver disorders. How should this medicine be used? Take by mouth once daily in the morning with or without food. Taking it earlier in the day can reduce nighttime urination. Your clinician may adjust the dose based on response and lab results. Continue taking even if you feel well. What special precautions should I follow? Tell your clinician if you have kidney or liver disease, gout, diabetes, lupus, or an allergy to sulfonamide medicines. This medicine can cause low blood sodium, potassium, and magnesium, dehydration, low blood pressure, high uric acid, and increased blood sugar. It can rarely cause acute angle closure glaucoma or vision changes. It can increase sun sensitivity and has been associated with a higher risk of some non melanoma skin cancers with long term use, so use sun protection. Check with your clinician before using with lithium or digoxin. What special dietary instructions should I follow? Stay well hydrated. Your clinician may advise limiting sodium and eating potassium rich foods unless you take other medicines that raise potassium. Limit alcohol which can increase dizziness. What should I do if I forget a dose? Take it when you remember unless it is late in the day and may cause nighttime urination. If it is close to your next dose, skip the missed dose. Do not take two doses at once. What side effects can this medication cause? Common effects include increased urination, dizziness, lightheadedness, and muscle cramps. It can cause electrolyte abnormalities such as low potassium or sodium, high uric acid with gout, and higher blood sugar. Less common effects include rash, photosensitivity, pancreatitis, and rare eye pain or sudden vision changes that need urgent care."
Acebutolol,"Important warning: Do not stop acebutolol suddenly, especially if you have coronary artery disease. Abrupt discontinuation can worsen chest pain or cause heart attack. Your clinician will guide you to taper the dose over one to two weeks if it needs to be stopped. Why is this medication prescribed? Acebutolol is a beta blocker used to treat high blood pressure and certain abnormal heart rhythms and may be used to prevent angina. How should this medicine be used? Take by mouth once or twice daily at the same times each day. Take consistently with respect to meals. Your clinician will adjust the dose based on blood pressure, heart rate, and clinical response. Do not stop taking it without medical advice. What special precautions should I follow? Tell your clinician if you have asthma or chronic obstructive pulmonary disease, diabetes, thyroid disease, slow heart rate, heart block, heart failure, peripheral vascular disease, myasthenia gravis, depression, kidney or liver disease, or if you are pregnant or breastfeeding. This medicine can mask symptoms of low blood sugar and hyperthyroidism. Use caution with other medicines that slow the heart such as verapamil, diltiazem, and digoxin, and with clonidine. Report shortness of breath, wheezing, dizziness, fainting, very slow heart rate, swelling, or sudden weight gain. What special dietary instructions should I follow? No specific diet is required, but limit alcohol and be cautious with over the counter cold medicines that contain stimulants or decongestants. What should I do if I forget a dose? Take it as soon as you remember unless it is near the time of your next dose. If it is almost time for the next dose, skip the missed dose. Do not take two doses at once. What side effects can this medication cause? Common effects include tiredness, dizziness, nausea, and slow heart rate. It may cause low blood pressure, cold hands and feet, depression, sleep disturbances, and sexual dysfunction. Serious effects include wheezing or bronchospasm, fainting, heart block, worsening heart failure, and severe allergic reactions."
